market,sym
KRAKEN,AAVE/ETH
KRAKEN,AAVE/EUR
KRAKEN,AAVE/GBP
KRAKEN,AAVE/USD
KRAKEN,AAVE/XBT
KRAKEN,ADA/ETH
KRAKEN,ADA/EUR
KRAKEN,ADA/USD
KRAKEN,ADA/USDT
KRAKEN,ADA/XBT
KRAKEN,ALGO/ETH
KRAKEN,ALGO/EUR
KRAKEN,ALGO/USD
KRAKEN,ALGO/XBT
KRAKEN,ANT/ETH
KRAKEN,ANT/EUR
KRAKEN,ANT/USD
KRAKEN,ANT/XBT
KRAKEN,ATOM/ETH
KRAKEN,ATOM/EUR
KRAKEN,ATOM/USD
KRAKEN,ATOM/XBT
KRAKEN,AUD/JPY
KRAKEN,AUD/USD
KRAKEN,BAL/ETH
KRAKEN,BAL/EUR
KRAKEN,BAL/USD
KRAKEN,BAL/XBT
KRAKEN,BAT/ETH
KRAKEN,BAT/EUR
KRAKEN,BAT/USD
KRAKEN,BAT/XBT
KRAKEN,BCH/AUD
KRAKEN,BCH/ETH
KRAKEN,BCH/EUR
KRAKEN,BCH/GBP
KRAKEN,BCH/JPY
KRAKEN,BCH/USD
KRAKEN,BCH/USDT
KRAKEN,BCH/XBT
KRAKEN,COMP/ETH
KRAKEN,COMP/EUR
KRAKEN,COMP/USD
KRAKEN,COMP/XBT
KRAKEN,CRV/ETH
KRAKEN,CRV/EUR
KRAKEN,CRV/USD
KRAKEN,CRV/XBT
KRAKEN,DAI/EUR
KRAKEN,DAI/USD
KRAKEN,DAI/USDT
KRAKEN,DASH/EUR
KRAKEN,DASH/USD
KRAKEN,DASH/XBT
KRAKEN,DOT/ETH
KRAKEN,DOT/EUR
KRAKEN,DOT/USD
KRAKEN,DOT/USDT
KRAKEN,DOT/XBT
KRAKEN,EOS/ETH
KRAKEN,EOS/EUR
KRAKEN,EOS/USD
KRAKEN,EOS/USDT
KRAKEN,EOS/XBT
KRAKEN,ETH2.S/ETH
KRAKEN,ETH/AUD
KRAKEN,ETH/CHF
KRAKEN,ETH/DAI
KRAKEN,ETH/USDC
KRAKEN,ETH/USDT
KRAKEN,EUR/AUD
KRAKEN,EUR/CAD
KRAKEN,EUR/CHF
KRAKEN,EUR/GBP
KRAKEN,EUR/JPY
KRAKEN,FIL/ETH
KRAKEN,FIL/EUR
KRAKEN,FIL/USD
KRAKEN,FIL/XBT
KRAKEN,GNO/ETH
KRAKEN,GNO/EUR
KRAKEN,GNO/USD
KRAKEN,GNO/XBT
KRAKEN,GRT/ETH
KRAKEN,GRT/EUR
KRAKEN,GRT/USD
KRAKEN,GRT/XBT
KRAKEN,ICX/ETH
KRAKEN,ICX/EUR
KRAKEN,ICX/USD
KRAKEN,ICX/XBT
KRAKEN,KAVA/ETH
KRAKEN,KAVA/EUR
KRAKEN,KAVA/USD
KRAKEN,KAVA/XBT
KRAKEN,KEEP/ETH
KRAKEN,KEEP/EUR
KRAKEN,KEEP/USD
KRAKEN,KEEP/XBT
KRAKEN,KNC/ETH
KRAKEN,KNC/EUR
KRAKEN,KNC/USD
KRAKEN,KNC/XBT
KRAKEN,KSM/ETH
KRAKEN,KSM/EUR
KRAKEN,KSM/USD
KRAKEN,KSM/XBT
KRAKEN,LINK/ETH
KRAKEN,LINK/EUR
KRAKEN,LINK/USD
KRAKEN,LINK/USDT
KRAKEN,LINK/XBT
KRAKEN,LSK/ETH
KRAKEN,LSK/EUR
KRAKEN,LSK/USD
KRAKEN,LSK/XBT
KRAKEN,LTC/AUD
KRAKEN,LTC/ETH
KRAKEN,LTC/GBP
KRAKEN,LTC/USDT
KRAKEN,MANA/ETH
KRAKEN,MANA/EUR
KRAKEN,MANA/USD
KRAKEN,MANA/XBT
KRAKEN,NANO/ETH
KRAKEN,NANO/EUR
KRAKEN,NANO/USD
KRAKEN,NANO/XBT
KRAKEN,OMG/ETH
KRAKEN,OMG/EUR
KRAKEN,OMG/USD
KRAKEN,OMG/XBT
KRAKEN,OXT/ETH
KRAKEN,OXT/EUR
KRAKEN,OXT/USD
KRAKEN,OXT/XBT
KRAKEN,PAXG/ETH
KRAKEN,PAXG/EUR
KRAKEN,PAXG/USD
KRAKEN,PAXG/XBT
KRAKEN,QTUM/ETH
KRAKEN,QTUM/EUR
KRAKEN,QTUM/USD
KRAKEN,QTUM/XBT
KRAKEN,REPV2/ETH
KRAKEN,REPV2/EUR
KRAKEN,REPV2/USD
KRAKEN,REPV2/XBT
KRAKEN,SC/ETH
KRAKEN,SC/EUR
KRAKEN,SC/USD
KRAKEN,SC/XBT
KRAKEN,SNX/ETH
KRAKEN,SNX/EUR
KRAKEN,SNX/USD
KRAKEN,SNX/XBT
KRAKEN,STORJ/ETH
KRAKEN,STORJ/EUR
KRAKEN,STORJ/USD
KRAKEN,STORJ/XBT
KRAKEN,TBTC/ETH
KRAKEN,TBTC/EUR
KRAKEN,TBTC/USD
KRAKEN,TBTC/XBT
KRAKEN,TRX/ETH
KRAKEN,TRX/EUR
KRAKEN,TRX/USD
KRAKEN,TRX/XBT
KRAKEN,UNI/ETH
KRAKEN,UNI/EUR
KRAKEN,UNI/USD
KRAKEN,UNI/XBT
KRAKEN,USDC/EUR
KRAKEN,USD/CHF
KRAKEN,USDC/USD
KRAKEN,USDC/USDT
KRAKEN,USDT/AUD
KRAKEN,USDT/CAD
KRAKEN,USDT/CHF
KRAKEN,USDT/EUR
KRAKEN,USDT/GBP
KRAKEN,USDT/JPY
KRAKEN,USDT/USD
KRAKEN,WAVES/ETH
KRAKEN,WAVES/EUR
KRAKEN,WAVES/USD
KRAKEN,WAVES/XBT
KRAKEN,XBT/AUD
KRAKEN,XBT/CHF
KRAKEN,XBT/DAI
KRAKEN,XBT/USDC
KRAKEN,XBT/USDT
KRAKEN,XDG/EUR
KRAKEN,XDG/USD
KRAKEN,ETC/ETH
KRAKEN,ETC/XBT
KRAKEN,ETC/EUR
KRAKEN,ETC/USD
KRAKEN,ETH/XBT
KRAKEN,ETH/CAD
KRAKEN,ETH/EUR
KRAKEN,ETH/GBP
KRAKEN,ETH/JPY
KRAKEN,ETH/USD
KRAKEN,LTC/XBT
KRAKEN,LTC/EUR
KRAKEN,LTC/JPY
KRAKEN,LTC/USD
KRAKEN,MLN/ETH
KRAKEN,MLN/XBT
KRAKEN,MLN/EUR
KRAKEN,MLN/USD
KRAKEN,REP/ETH
KRAKEN,REP/XBT
KRAKEN,REP/EUR
KRAKEN,REP/USD
KRAKEN,XRP/AUD
KRAKEN,XRP/ETH
KRAKEN,XRP/GBP
KRAKEN,XRP/USDT
KRAKEN,XTZ/ETH
KRAKEN,XTZ/EUR
KRAKEN,XTZ/USD
KRAKEN,XTZ/XBT
KRAKEN,XBT/CAD
KRAKEN,XBT/EUR
KRAKEN,XBT/GBP
KRAKEN,XBT/JPY
KRAKEN,XBT/USD
KRAKEN,XDG/XBT
KRAKEN,XLM/XBT
KRAKEN,XLM/EUR
KRAKEN,XLM/USD
KRAKEN,XMR/XBT
KRAKEN,XMR/EUR
KRAKEN,XMR/USD
KRAKEN,XRP/XBT
KRAKEN,XRP/CAD
KRAKEN,XRP/EUR
KRAKEN,XRP/JPY
KRAKEN,XRP/USD
KRAKEN,ZEC/XBT
KRAKEN,ZEC/EUR
KRAKEN,ZEC/USD
KRAKEN,YFI/ETH
KRAKEN,YFI/EUR
KRAKEN,YFI/USD
KRAKEN,YFI/XBT
KRAKEN,EUR/USD
KRAKEN,GBP/USD
KRAKEN,USD/CAD
KRAKEN,USD/JPY